File name	Cplex Cost	Cplex Elapsed Time [ms]	Cplex N. Visited Nodes	Cplex Route	Labeling Cost	Labeling Elapsed Time [ms]	Labeling N. Visited Nodes	Labeling Route	Labeling N. Feasible Routes	Labeling N. Generated Routes
C101.txt	-86.83178047013894	59	12	0, 5, 3, 7, 10, 11, 9, 6, 23, 22, 21, Depot	-86.83178047013892	20	11	0->5->3->7->10->11->9->6->23->22->21->Depot	26	193
C102.txt	-121.17936554085352	47054	14	0, 20, 24, 25, 21, 11, 9, 6, 2, 1, 5, 7, 3, Depot	-121.17936554085354	1770	13	0->20->24->25->21->11->9->6->2->1->5->7->3->Depot	97	5903
C103.txt	-121.17936554085352	245569	14	0, 20, 24, 25, 21, 11, 9, 6, 2, 1, 5, 7, 3, Depot	-121.17936554085354	29344	13	0->20->24->25->21->11->9->6->2->1->5->7->3->Depot	99	30122
C104.txt	-128.3753031162501	600026	14	0, 5, 7, 10, 8, 6, 11, 1, 4, 3, 2, 22, 24, Depot	-128.3753031162501	1533826	13	0->5->7->10->8->6->11->1->4->3->2->22->24->Depot	114	216439
C105.txt	-86.83178047013894	29	12	0, 5, 3, 7, 10, 11, 9, 6, 23, 22, 21, Depot	-86.83178047013892	3	11	0->5->3->7->10->11->9->6->23->22->21->Depot	24	213
C106.txt	-86.83178047013894	27	12	0, 5, 3, 7, 10, 11, 9, 6, 23, 22, 21, Depot	-86.83178047013892	2	11	0->5->3->7->10->11->9->6->23->22->21->Depot	24	197
C107.txt	-89.49753793229962	34	13	0, 5, 3, 7, 10, 11, 9, 6, 4, 2, 1, 21, Depot	-89.49753793229961	3	12	0->5->3->7->10->11->9->6->4->2->1->21->Depot	31	226
C108.txt	-110.16077876420934	372	13	0, 5, 3, 7, 10, 8, 9, 6, 4, 1, 2, 21, Depot	-110.16077876420935	9	12	0->5->3->7->10->8->9->6->4->1->2->21->Depot	32	381
C109.txt	-120.91623068499294	5986	13	0, 5, 7, 3, 8, 9, 6, 11, 1, 2, 22, 21, Depot	-120.91623068499293	40	12	0->5->7->3->8->9->6->11->1->2->22->21->Depot	51	868
