File name	Cplex Cost	Cplex Elapsed Time [ms]	Cplex N. Visited Nodes	Cplex Route	Labeling Cost	Labeling Elapsed Time [ms]	Labeling N. Visited Nodes	Labeling Route	Labeling N. Feasible Routes	Labeling N. Generated Routes
C101.txt	0.0	0	0		-104.51176906646691	46	12	0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, Depot	42	436
C102.txt	0.0	0	0		-140.1337778401312	1613	13	0, 20, 26, 21, 10, 11, 9, 6, 3, 7, 5, 1, 2, Depot	130	9237
C108.txt	0.0	0	0		-113.52828666453692	35	13	0, 20, 25, 24, 27, 29, 26, 28, 22, 23, 21, 49, 47, Depot	70	981
C109.txt	0.0	0	0		-121.18333390611201	163	12	0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 1, 2, Depot	104	2382
C105.txt	0.0	0	0		-104.51176906646691	12	12	0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, Depot	43	497
C106.txt	0.0	0	0		-104.51176906646691	11	12	0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, Depot	47	462
C107.txt	0.0	0	0		-104.51176906646691	14	12	0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, Depot	44	538
C103.txt	0.0	0	0		-144.44650303586803	5780478	13	0, 26, 24, 27, 20, 21, 9, 6, 3, 7, 5, 1, 2, Depot	147	295040
C101.txt	0.0	0	0		-104.51176906646691	13	12	0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, Depot	42	436
