File name	Cplex Cost	Cplex Elapsed Time [ms]	Cplex N. Visited Nodes	Cplex Route	Labeling Cost	Labeling Elapsed Time [ms]	Labeling N. Visited Nodes	Labeling Route	Labeling N. Feasible Routes	Labeling N. Generated Routes
C101.txt	0.0	0	0		-86.83178047013892	49	11	0, 5, 3, 7, 10, 11, 9, 6, 23, 22, 21, Depot	26	190
C102.txt	0.0	0	0		-121.17936554085354	941	13	0, 20, 24, 25, 21, 11, 9, 6, 2, 1, 5, 7, 3, Depot	96	5915
C108.txt	0.0	0	0		-110.16077876420935	8	12	0, 5, 3, 7, 10, 8, 9, 6, 4, 1, 2, 21, Depot	33	384
C109.txt	0.0	0	0		-120.91623068499293	26	12	0, 5, 7, 3, 8, 9, 6, 11, 1, 2, 22, 21, Depot	52	847
C105.txt	0.0	0	0		-86.83178047013892	4	11	0, 5, 3, 7, 10, 11, 9, 6, 23, 22, 21, Depot	24	210
C106.txt	0.0	0	0		-86.83178047013892	3	11	0, 5, 3, 7, 10, 11, 9, 6, 23, 22, 21, Depot	24	194
C107.txt	0.0	0	0		-89.49753793229961	4	12	0, 5, 3, 7, 10, 11, 9, 6, 4, 2, 1, 21, Depot	31	223
C104.txt	0.0	0	0		-128.3753031162501	2295147	13	0, 5, 7, 10, 8, 6, 11, 1, 4, 3, 2, 22, 24, Depot	116	216536
C103.txt	0.0	0	0		-121.17936554085354	26155	13	0, 20, 24, 25, 21, 11, 9, 6, 2, 1, 5, 7, 3, Depot	100	30140
