File name	Cplex Cost	Cplex Elapsed Time [ms]	Cplex N. Visited Nodes	Cplex Route	Labeling Cost	Labeling Elapsed Time [ms]	Labeling N. Visited Nodes	Labeling Route	Labeling N. Feasible Routes	Labeling N. Generated Routes
RC101.txt	-19.907765113264464	195	8	0, 23, 21, 19, 49, 22, 20, Depot	-19.90776511326446	22	7	0->23->21->19->49->22->20->Depot	17	379
RC102.txt	-42.424884011723194	137752	11	0, 45, 3, 8, 7, 6, 4, 5, 1, 2, Depot	-42.424884011723194	130	10	0->45->3->8->7->6->4->5->1->2->Depot	47	1499
RC103.txt	-34.26486984376402	600028	11	0, 27, 26, 28, 30, 32, 34, 29, 31, 50, Depot	-54.624085041332975	968	11	0->45->3->46->8->7->6->4->5->1->2->Depot	64	5799
RC104.txt	-51.438256729338505	600021	12	0, 34, 29, 31, 27, 26, 28, 30, 32, 33, 50, Depot	-71.850916769783	5548	11	0->6->7->8->46->5->3->4->45->1->2->Depot	93	21411
RC105.txt	-32.12562148973694	270388	10	0, 34, 29, 27, 26, 28, 32, 31, 50, Depot	-32.12562148973694	57	9	0->34->29->27->26->28->32->31->50->Depot	33	1347
RC106.txt	-31.907765113264464	52635	9	0, 23, 21, 19, 49, 22, 24, 20, Depot	-31.90776511326446	58	8	0->23->21->19->49->22->24->20->Depot	39	1174
RC107.txt	-49.54459696068453	600013	11	0, 2, 6, 5, 3, 4, 45, 8, 46, 1, Depot	-53.758657644306766	756	11	0->42->44->41->35->38->43->40->37->36->39->Depot	54	6511
RC108.txt	-39.07210855416817	600022	11	0, 29, 31, 27, 26, 28, 30, 32, 34, 50, Depot	-62.51400936006742	4215	11	0->2->6->7->8->46->5->3->4->45->1->Depot	69	19403
