File name	Cplex Cost	Cplex Elapsed Time [ms]	Cplex N. Visited Nodes	Cplex Route	Labeling Cost	Labeling Elapsed Time [ms]	Labeling N. Visited Nodes	Labeling Route	Labeling N. Feasible Routes	Labeling N. Generated Routes
RC101.txt	-14.255919755423463	43	10	0, 2, 5, 7, 6, 8, 3, 1, 4, Depot	-14.255919755423463	8	9	0->2->5->7->6->8->3->1->4->Depot	26	195
RC102.txt	-25.165556125285136	6299	10	0, 2, 7, 6, 8, 5, 3, 1, 4, Depot	-25.16555612528513	69	9	0->2->7->6->8->5->3->1->4->Depot	49	750
RC103.txt	-25.917438786713003	92875	9	0, 20, 18, 23, 21, 19, 22, 24, Depot	-25.917438786713	168	8	0->20->18->23->21->19->22->24->Depot	31	1315
RC104.txt	-32.16480831213062	256337	10	0, 20, 23, 21, 19, 18, 25, 22, 24, Depot	-32.16480831213061	313	9	0->20->23->21->19->18->25->22->24->Depot	46	2953
RC105.txt	-17.394182753087808	5587	8	0, 2, 8, 5, 3, 1, 4, Depot	-17.394182753087804	11	7	0->2->8->5->3->1->4->Depot	27	461
RC106.txt	-23.44351325131985	1449	10	0, 2, 8, 5, 7, 6, 3, 1, 4, Depot	-23.44351325131985	10	9	0->2->8->5->7->6->3->1->4->Depot	28	374
RC107.txt	-33.50020289705199	51931	10	0, 9, 13, 16, 15, 14, 17, 11, 10, Depot	-33.50020289705199	71	9	0->9->13->16->15->14->17->11->10->Depot	48	1311
RC108.txt	-37.37006444095408	266737	10	0, 11, 13, 9, 15, 14, 17, 12, 10, Depot	-37.37006444095407	416	9	0->11->13->9->15->14->17->12->10->Depot	48	3876
